"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geoData";
"126";"Автомобильная заправочная станция «Фирма ОЛА» на Минской улице, дом 4 А";"4539492";"АЗС «Фирма ОЛА» на Минской улице, дом 4А";"Западный административный округ";"район Филёвский Парк";"Минская улица, дом 4А";"ООО «Фирма ОЛА»";"13.05.2014";"{type=Point, coordinates=[37.488581072238, 55.734072743877]}";
"128";"Автомобильна заправочная станция № 566 «Лукойл-Центрнефтепродукт» на 109 километре МКАД, владение 14";"4539493";"АЗС № 566 «Лукойл-Центрнефтепродукт» на 109 километре МКАД, владение 14";"Восточный административный округ";"район Ивановское";"109 километр МКАД, владение 14";"ООО «Лукойл-Центрнефтепродукт»";"03.06.2014";"{type=Point, coordinates=[37.841665582434, 55.779996769091]}";
"132";"Автомобильная заправочная станция «Эконефтепродукт» на Волоколамском шоссе, владение 101";"4539494";"АЗС «Эконефтепродукт» на Волоколамском шоссе, вледение 101";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Волоколамское шоссе, владение 101";"ООО «Эконефтепродукт»";"26.06.2014";"{type=Point, coordinates=[37.398231793688, 55.831280151611]}";
"134";"Автомобильная заправочная станция «Сокол» в посёлке Коммунарка";"4539495";"АЗС «Сокол» в посёлке Коммунарка";"Новомосковский административный округ";"поселение Сосенское";"посёлок Коммунарка поселение Сосенское";"ООО «Сокол»";"01.07.2014";"{type=Point, coordinates=[37.472239833829, 55.576565759076]}";
"137";"Автомобильная заправочная станция «Приоритет - World» на Дмитровском шоссе, дом 64, корпус. 6, строение 1";"4539496";"АЗС «Приоритет - World» на Дмитровском шоссе, дом 64, корпус. 6, строение 1";"Северный административный округ";"Бескудниковский район";"Дмитровское шоссе, дом 64, корпус. 6, строение 1";"ЗАО коммерческо-холдинговая компания «Приоритет - World»";"14.08.2014";"{type=Point, coordinates=[37.563406429431, 55.854366044499]}";
"140";"Автомобильная заправочная станция «Луч» на улице Маршала Воробьева, дом 12, корпус 4";"4539497";"АЗС «Луч» на улице Маршала Воробьёва, дом 12, корпус 4";"Северо-Западный административный округ";"район Строгино";"улица Маршала Воробьёва, дом 12, корпус 4";"ООО «Луч»";"29.08.2017";"{type=Point, coordinates=[37.392020955785, 55.792140569319]}";
"2";"Автомобильная заправочная станция № 15 «ТК Нефтепродуктсервис»";"4539498";"АЗС № 15 «ТК Нефтепродуктсервис»";"Восточный административный округ";"район Вешняки";"Кетчерская улица, дом 5";"ООО «ТК Нефтепродуктсервис»";"25.02.2013";"{type=Point, coordinates=[37.830089221525, 55.746118555004]}";
"4";"Автомобильная заправочная станция № 3 «Сокол»";"4539499";"АЗС № 3 «Сокол»";"Новомосковский административный округ";"поселение Сосенское";"35-й километр Калужского шоссе";"ООО «Сокол»";"26.02.2013";"{type=Point, coordinates=[37.322838860392, 55.486430420701]}";
"7";"Автомобильный заправочный комплекс № 3 «РН-Москва»";"4539500";"АЗК № 3 «РН-Москва»";"Северо-Восточный административный округ";"район Бибирево";"улица Пришвина, владение 6А";"ОАО «РН-Москва»";"19.03.2013";"{type=Point, coordinates=[37.593294373211, 55.889373579295]}";
"9";"Автомобильная заправочная станция № 12 «Транс АЗС»";"4539501";"АЗС № 12 «Транс АЗС»";"Южный административный округ";"Даниловский район";"Крутицкая набережная, дом 13А";"ЗАО «Транс АЗС»";"21.03.2013";"{type=Point, coordinates=[37.658673897458, 55.72129675667]}";
